manufacturer,model,family,aircraft_type,primary_use,status,weight_kg,mtow_kg,max_payload_kg,max_flight_time_min,max_speed_m_s,max_range_km,service_ceiling_m,max_wind_m_s,ip_rating,operating_temp_c,dimensions,wingspan_mm,gnss,camera_payload_summary,remote_id,source_url,image_source_url,image_license_status,media_status,source_priority,verified_at,notes
DJI,Matrice 400,Matrice,Multirotor,Enterprise / inspection / public safety / mapping,Current,9.74,15.8,6.0,59,25,49,7000,12,IP55,-20 to 50,Unfolded 980×760×480 mm; folded 490×490×480 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,Modular payload platform; supports DJI enterprise payloads; 3 gimbal connectors,Region/firmware dependent,https://enterprise.dji.com/matrice-400/specs,https://enterprise.dji.com/matrice-400,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Flight time measured carrying H30T at sea level.
DJI,Matrice 350 RTK,Matrice,Multirotor,Enterprise / inspection / mapping / public safety,Current,6.47,9.2,0.96,55,23,20,7000,12,IP55,-20 to 50,Unfolded 810×670×430 mm; folded 430×420×430 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,Modular Zenmuse payloads; single/dual downward gimbal and upward gimbal options,Region/firmware dependent,https://enterprise.dji.com/matrice-350-rtk/specs,https://enterprise.dji.com/matrice-350-rtk,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Payload figure is single gimbal damper max payload; high-altitude propeller configuration affects ceiling.
DJI,Matrice 30,Matrice 30 Series,Multirotor,Enterprise / inspection / public safety,Current,3.77,4.069,,41,23,15,7000,12,IP55,-20 to 50,Unfolded 470×585×215 mm; folded 365×215×195 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,Integrated wide + zoom + laser rangefinder,Region/firmware dependent,https://enterprise.dji.com/matrice-30/specs,https://enterprise.dji.com/matrice-30,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,M30 variant excludes thermal camera.
DJI,Matrice 30T,Matrice 30 Series,Multirotor,Public safety / thermal inspection / search and rescue,Current,3.77,4.069,,41,23,15,7000,12,IP55,-20 to 50,Unfolded 470×585×215 mm; folded 365×215×195 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,Integrated wide + zoom + thermal 640×512 + laser rangefinder,Region/firmware dependent,https://enterprise.dji.com/matrice-30/specs,https://enterprise.dji.com/matrice-30,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Thermal super-resolution output up to 1280×1024.
DJI,Matrice 4E,Matrice 4 Series,Multirotor,Surveying / mapping / inspection,Current,1.219,1.42,0.2,49,21,35,6000,12,,-10 to 40,Folded 260.6×113.7×138.4 mm; unfolded 307.0×387.5×149.5 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,20 MP 4/3 wide mechanical-shutter camera + 48 MP medium tele + 48 MP tele + laser rangefinder,Region/firmware dependent,https://enterprise.dji.com/matrice-4-series/specs,https://enterprise.dji.com/matrice-4-series,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,"49 min with standard propellers, no payload."
DJI,Matrice 4T,Matrice 4 Series,Multirotor,Public safety / inspection / thermal operations,Current,1.219,1.42,0.2,49,21,35,6000,12,,-10 to 40,Folded 260.6×113.7×138.4 mm; unfolded 307.0×387.5×149.5 mm,,GPS + Galileo + BeiDou + GLONASS; RTK,48 MP wide + 48 MP medium tele + 48 MP tele + 640×512 thermal + NIR light + laser rangefinder,Region/firmware dependent,https://enterprise.dji.com/matrice-4-series/specs,https://enterprise.dji.com/matrice-4-series,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,"Thermal camera 640×512, super-resolution 1280×1024."
DJI,Mavic 3E,Mavic 3 Enterprise Series,Multirotor,Surveying / mapping / inspection,Current,0.915,1.05,,45,21,32,6000,12,,-10 to 40,Folded 221×96.3×90.3 mm; unfolded 347.5×283×107.7 mm,,GPS + Galileo + BeiDou + GLONASS (with RTK module),20 MP 4/3 CMOS wide mechanical shutter + 12 MP tele,Region/firmware dependent,https://enterprise.dji.com/mavic-3-enterprise/specs,https://enterprise.dji.com/mavic-3-enterprise,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,45 min with standard enterprise battery/propellers.
DJI,Mavic 3T,Mavic 3 Enterprise Series,Multirotor,Thermal inspection / public safety / search and rescue,Current,0.92,1.05,,45,21,32,6000,12,,-10 to 40,Folded 221×96.3×90.3 mm; unfolded 347.5×283×107.7 mm,,GPS + Galileo + BeiDou + GLONASS (with RTK module),48 MP wide + 12 MP tele + thermal imager,Region/firmware dependent,https://enterprise.dji.com/mavic-3-enterprise/specs,https://enterprise.dji.com/mavic-3-enterprise,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,Thermal variant.
DJI,AGRAS T50,AGRAS,Multirotor,Agriculture spraying / spreading,Current,52.0,103.0,50.0,,,2.0,,6,,,Unfolded 2800×3085×820 mm; folded 1115×750×900 mm,,GPS + GLONASS + BeiDou + Galileo + QZSS; RTK,Agricultural spraying/spreading system; 40 L spray tank,Region/firmware dependent,https://ag.dji.com/t50/specs,https://ag.dji.com/t50,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,MTOW 92 kg spraying / 103 kg spreading; payload capacity depends on configuration.
DJI,FlyCart 30,FlyCart,Multirotor,Cargo / delivery / logistics,Current,65.0,95.0,40.0,29,20,28,6000,12,IP55,-20 to 45,Unfolded 2800×3085×947 mm; folded 1115×760×1027 mm,,GPS + Galileo + BeiDou + QZSS; RTK,Cargo case or winch system; integrated FPV camera,Region/firmware dependent,https://www.dji.com/flycart-30/specs,https://www.dji.com/flycart-30,Official source reference only; licensing review required before local redistribution,Reference ready; local copy not included,Manufacturer / official documentation,2026-09-11,29 min is max hover endurance empty in dual-battery mode; 18 min at 30 kg load.
